SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.617351763,41,4,0.167588827,15000,14,1,1,0,2
0,0.084175501,58,0,0.388850795,14583,12,0,3,0,1
0,0.307757394,47,0,0.181313158,18900,10,0,2,0,3
0,0.003265195,65,0,0.304615897,6000,6,0,2,0,0
0,0.018516603,38,0,5870,2554,6,0,1,0,0
0,0.032119358,80,0,1020,2554,7,0,1,0,0
0,0.9999999,48,0,1.152802571,2800,6,0,2,0,2
0,0.199732383,66,0,0.319950777,6500,10,0,1,0,0
0,0.037981203,50,0,0.710292667,3040,7,0,1,0,1
0,0.23648522,37,0,0.249862652,9100,7,0,2,0,3
0,0.638361638,63,0,18,1159,3,0,0,0,0
0,0.034915446,56,0,0.236531861,6700,16,0,1,0,2
1,0.9999999,24,0,232,1159,3,1,0,0,0
0,0.075587653,74,0,951,2554,5,0,1,0,0
0,0.002624672,27,0,0.08447888,4000,5,0,0,0,0
0,0.9999999,42,3,0.091769847,9610,5,0,0,0,2
0,0,69,0,0,5356,2,0,0,0,1
0,0.078997743,43,0,0.230487195,18000,10,0,1,0,2
0,0,48,0,0.574856046,4167,13,0,1,0,1
0,0.031446107,34,0,0.069733249,4760,5,0,0,0,0
0,0.009761573,50,0,0.224580834,6500,6,0,1,0,0
0,0.043308968,65,0,1666,2554,8,0,1,0,0
0,0.038666667,25,0,38,1159,3,0,0,0,0
1,0.177817425,45,0,0.672944131,11150,7,0,6,0,3
0,0,46,1,0.943815988,2651,10,0,1,0,0
0,0.395516488,32,0,0.284658844,2300,5,0,0,0,0
0,0.056693273,60,0,0.163484692,11627,8,0,1,0,0
0,0.929669798,51,1,0.562251746,7300,20,0,1,0,1
0,0.530761087,68,0,0.092165061,5500,4,0,0,0,0
0,0.9999999,47,1,0.098239513,4600,1,1,0,0,1
0,0.752541243,52,1,0.081455806,7500,2,0,0,0,0
0,0.001533231,60,0,0,2000,3,0,0,0,0
0,1.376623377,38,0,0.00819836,5000,5,0,0,0,2
0,0.952852357,48,0,2657,8311,6,0,2,0,0
0,0.48193206,39,1,0.291272807,4548,14,0,0,0,2
0,0.141581805,60,0,0.653789004,5383,15,0,2,0,0
0,0.120879121,23,0,0.146577832,1650,2,0,0,0,0
0,0.001685666,32,0,0.012278548,5700,3,0,0,0,0
0,0.717052618,60,0,0.3608,6249,10,0,0,0,3
0,0.500350606,70,0,0.64455924,6000,14,0,2,0,0
0,0.380974602,54,0,0.33120438,6575,6,0,1,0,1
0,0.9999999,46,0,1519,2554,1,2,1,0,0
0,0.085914882,54,0,0.397460999,15832,13,0,2,0,0
0,0.59138153,32,0,0.289663285,6800,17,0,0,0,2
0,0.445974286,61,0,0.535496103,9493,15,0,1,0,0
0,0.558444392,40,0,3034,8311,8,0,2,0,0
0,0.147313965,48,0,0.579513299,5300,10,0,1,0,2
0,0.178525671,57,0,692,1159,4,0,0,0,0
0,0.9999999,57,0,592,1159,4,3,0,0,0
0,0.562983915,59,0,0.274787535,6000,10,0,0,0,0
0,0.522190497,58,1,1939,1159,10,0,0,0,0
0,0.003446875,60,0,0.250587314,16600,14,0,2,0,2
